ax,ay,az,gx,gy,gz
0.039, -1.715, -1.748, -4.089, 21.240, -30.762
0.003, -2.393, -2.570, -12.634, 5.005, -19.104
-0.090, -2.743, -3.158, -9.705, -26.489, 8.484
-0.237, -2.727, -3.636, -5.798, -69.214, 46.936
-0.455, -2.339, -3.842, -16.785, -120.239, 89.111
-0.778, -1.465, -3.513, -36.621, -179.260, 131.714
-1.195, -0.367, -2.870, -52.063, -238.342, 164.429
-1.555, 0.830, -2.159, -63.477, -291.199, 183.838
-1.879, 1.827, -0.745, -87.402, -341.797, 186.401
-2.071, 2.865, 1.294, -87.280, -383.789, 178.589
-2.199, 3.699, 3.591, -57.068, -404.846, 159.912
-1.943, 4.000, 4.000, -30.396, -395.264, 127.747
-1.663, 4.000, 4.000, -1.038, -352.966, 86.914
-1.333, 4.000, 4.000, 9.155, -285.461, 42.053
-1.069, 3.935, 4.000, 19.348, -206.055, 4.761
-0.937, 3.662, 4.000, 29.541, -125.793, -26.672
-0.883, 3.333, 4.000, 29.785, -52.612, -56.030
-0.898, 2.919, 4.000, 29.541, 6.348, -81.970
-0.948, 2.542, 4.000, 34.485, 53.162, -103.210
-1.022, 2.228, 4.000, 44.800, 89.966, -119.385
-1.088, 1.984, 3.669, 60.913, 117.676, -132.019
-1.171, 1.825, 3.331, 78.735, 139.038, -142.212
-1.303, 1.717, 3.124, 90.820, 158.630, -151.123
-1.435, 1.635, 2.919, 90.576, 179.810, -160.217
-1.563, 1.746, 2.762, 79.895, 201.843, -168.152
-1.729, 1.944, 2.674, 61.890, 223.511, -179.504
-1.942, 2.001, 2.546, 44.006, 246.582, -199.402
-2.201, 1.780, 2.364, 37.537, 271.057, -224.854
-2.436, 1.446, 1.971, 37.415, 297.729, -249.512
-2.685, 1.009, 1.481, 43.335, 322.449, -271.790
-2.929, 0.605, 0.894, 46.753, 343.323, -288.452
-3.153, 0.113, 0.360, 41.687, 358.948, -301.208
-3.260, -0.271, -0.274, 29.053, 369.873, -308.960
-3.225, -0.849, -1.029, -2.075, 374.878, -316.101
-3.138, -1.605, -1.673, -39.490, 367.798, -321.533
-2.959, -2.315, -2.075, -62.866, 346.558, -318.237
-2.694, -2.936, -2.749, -62.683, 320.190, -302.368
-2.239, -3.364, -3.321, -43.701, 284.790, -277.893
-1.831, -3.684, -3.841, -19.531, 241.455, -246.155
-1.499, -3.801, -4.000, 4.761, 190.857, -208.191
