ax,ay,az,dx,dy,dz,x,y,z
-0.514, -2.465, 1.977, -0.039, -0.089, 0.019, -0.089, -0.009, -0.039
-0.605, -2.389, 1.420, -0.044, -0.088, 0.025, -0.089, -0.009, -0.039
-0.727, -2.185, 1.147, -0.072, -0.102, 0.032, -0.089, -0.010, -0.039
-0.666, -1.965, 0.798, -0.071, -0.100, 0.031, -0.089, -0.010, -0.039
-0.662, -2.016, 0.690, -0.048, -0.087, 0.023, -0.089, -0.010, -0.039
-0.638, -1.918, 0.718, -0.053, -0.094, 0.021, -0.089, -0.010, -0.039
-0.576, -2.022, 0.719, -0.034, -0.079, 0.014, -0.089, -0.010, -0.039
-0.527, -2.279, 0.695, -0.016, -0.081, 0.012, -0.089, -0.010, -0.039
-0.527, -2.425, 0.593, 0.019, -0.069, 0.010, -0.089, -0.010, -0.039
-0.474, -2.076, 0.335, 0.111, -0.066, 0.018, -0.089, -0.011, -0.039
-0.600, -2.004, -0.211, -0.542, -0.364, 0.014, -0.089, -0.011, -0.039
-0.566, -1.983, -0.858, -0.386, -0.355, 0.009, -0.089, -0.011, -0.039
-0.587, -2.172, -1.259, -0.331, -0.328, 0.002, -0.089, -0.011, -0.039
-0.610, -2.596, -1.718, -0.362, -0.387, -0.006, -0.089, -0.011, -0.039
-0.551, -2.812, -2.059, -0.309, -0.361, -0.004, -0.089, -0.011, -0.040
-0.602, -3.016, -1.691, -0.345, -0.416, 0.001, -0.089, -0.012, -0.040
-0.629, -2.899, -1.057, -0.329, -0.372, 0.008, -0.089, -0.012, -0.040
-0.691, -2.916, -0.593, -0.437, -0.416, 0.016, -0.089, -0.012, -0.040
-0.648, -3.167, -0.212, -0.627, -0.429, 0.015, -0.089, -0.012, -0.040
-0.720, -2.822, 0.217, 0.359, -0.054, 0.032, -0.089, -0.013, -0.040
-0.726, -1.899, 0.718, 0.034, -0.109, 0.040, -0.089, -0.013, -0.040
-0.764, -1.318, 1.180, -0.035, -0.101, 0.040, -0.089, -0.013, -0.040
-0.783, -1.649, 0.820, -0.040, -0.090, 0.017, -0.089, -0.013, -0.040

-2.377, -5.460, -23.139, -0.155, 0.223, -0.235, -0.000, -0.000, -0.002
-2.696, -6.102, -25.402, -0.104, 0.086, -0.223, -0.000, -0.001, -0.004
-2.691, -8.728, -27.693, -0.058, -0.061, -0.192, -0.001, -0.001, -0.005
-3.003, -10.561, -30.950, 0.027, -0.214, -0.154, -0.001, -0.002, -0.007
-3.452, -12.571, -34.286, 0.105, -0.445, -0.098, -0.001, -0.003, -0.010
-4.002, -13.850, -37.504, 0.139, -0.685, -0.001, -0.001, -0.004, -0.013
-5.018, -15.023, -40.493, 0.121, -0.861, 0.105, -0.002, -0.005, -0.016
-6.736, -15.160, -43.324, 0.051, -1.138, 0.237, -0.002, -0.006, -0.018
-9.380, -13.302, -44.944, -0.087, -1.629, 0.442, -0.003, -0.007, -0.022
-12.936, -10.538, -43.971, -0.199, -1.787, 0.536, -0.004, -0.008, -0.025
-16.732, -8.561, -40.709, -0.287, -2.404, 0.711, -0.005, -0.009, -0.028
-20.819, -6.879, -35.295, -0.278, -2.785, 0.796, -0.006, -0.009, -0.031
-25.024, -4.986, -27.497, -0.200, -2.789, 0.779, -0.008, -0.009, -0.033
-28.838, -3.615, -18.640, -0.184, -3.067, 0.842, -0.010, -0.010, -0.034
-31.054, -0.097, -8.559, -0.274, -3.760, 1.033, -0.012, -0.010, -0.035
-32.429, 5.425, 2.440, 0.096, -3.165, 1.128, -0.015, -0.009, -0.035
-33.324, 12.245, 14.602, 0.085, -3.175, 1.030, -0.017, -0.009, -0.034
-30.519, 15.637, 25.293, 0.189, -3.586, 1.079, -0.020, -0.008, -0.032
-28.944, 19.671, 29.671, 0.346, -3.107, 0.849, -0.021, -0.006, -0.030
-25.471, 23.307, 29.671, 0.610, -3.331, 0.758, -0.024, -0.004, -0.028
-21.588, 23.427, 29.671, 0.609, -2.737, 0.429, -0.025, -0.003, -0.026
-17.678, 20.541, 29.671, 0.783, -2.768, 0.168, -0.026, -0.001, -0.024
-14.086, 16.796, 29.671, 0.708, -2.102, -0.073, -0.027, -0.000, -0.022
-10.792, 12.380, 29.671, 0.744, -1.849, -0.272, -0.028, 0.001, -0.019
-8.371, 8.808, 29.671, 0.674, -1.140, -0.345, -0.029, 0.002, -0.017
-7.413, 6.105, 29.671, 0.738, -0.718, -0.446, -0.029, 0.002, -0.015
-7.404, 7.806, 29.671, 0.619, -0.148, -0.389, -0.030, 0.003, -0.013
-8.530, 11.647, 29.671, 0.593, 0.354, -0.452, -0.031, 0.003, -0.011
-10.689, 14.836, 29.671, 0.394, 0.750, -0.498, -0.031, 0.004, -0.009
-13.198, 15.946, 29.671, 0.268, 1.284, -0.750, -0.032, 0.006, -0.006
-15.674, 14.393, 29.671, 0.081, 1.448, -0.880, -0.033, 0.007, -0.005
-18.058, 10.763, 29.671, -0.065, 1.886, -1.228, -0.035, 0.007, -0.002
-20.383, 6.806, 26.922, -0.157, 1.849, -1.265, -0.036, 0.008, -0.000
-23.153, 2.393, 23.710, -0.227, 2.241, -1.572, -0.038, 0.008, 0.002
-26.005, -0.737, 19.088, -0.184, 2.400, -1.658, -0.040, 0.008, 0.003
-27.726, -4.381, 13.642, -0.094, 2.275, -1.515, -0.042, 0.008, 0.004
-28.947, -7.387, 8.426, -0.074, 2.425, -1.513, -0.044, 0.008, 0.005
