ax,ay,az,dx,dy,dz,x,y,z
-8.535, 37.159, 25.774, 0.342, 0.204, -0.503, -0.128, 0.015, 0.006
-9.611, 37.177, 21.049, 0.288, 0.443, -0.957, -0.129, 0.018, 0.008
-11.041, 35.146, 15.578, 0.149, 0.547, -1.206, -0.130, 0.020, 0.009
-12.249, 31.498, 9.753, -0.013, 0.738, -1.730, -0.131, 0.023, 0.010
-14.058, 30.182, 7.065, -0.240, 0.736, -1.809, -0.132, 0.025, 0.010
-16.048, 31.370, 4.391, -0.655, 0.931, -2.294, -0.133, 0.027, 0.011
-18.703, 34.115, 1.737, -1.210, 1.030, -2.311, -0.134, 0.029, 0.011
-21.952, 33.453, -0.285, 2.141, -1.440, -3.019, -0.136, 0.032, 0.011
-25.790, 29.261, -1.608, -0.440, 0.008, -3.110, -0.138, 0.034, 0.011
-29.410, 21.800, -2.115, -0.746, -0.043, -3.954, -0.140, 0.036, 0.010
-32.588, 11.767, -2.822, -0.801, -0.085, -3.848, -0.142, 0.037, 0.010
-34.462, 2.322, -4.589, -0.974, -0.103, -4.555, -0.145, 0.037, 0.010
-34.655, -6.411, -7.117, -1.562, -0.146, -4.127, -0.147, 0.037, 0.009
-32.932, -15.246, -8.136, -1.805, -0.321, -4.623, -0.150, 0.036, 0.009
-30.193, -24.865, -6.061, -1.650, -0.502, -3.985, -0.152, 0.034, 0.008
-26.596, -33.334, -1.154, -2.392, -1.247, -4.199, -0.154, 0.032, 0.008
-22.995, -39.265, 3.108, -0.753, -0.227, -3.361, -0.155, 0.029, 0.008
-18.274, -39.265, 6.046, -1.013, -0.457, -3.252, -0.157, 0.026, 0.009
-14.466, -39.265, 9.857, -0.801, -0.494, -2.378, -0.158, 0.023, 0.009
-11.514, -39.265, 13.085, -0.639, -0.529, -2.034, -0.159, 0.020, 0.010
-9.480, -31.867, 11.314, -0.288, -0.388, -1.276, -0.159, 0.018, 0.011
-7.625, -21.932, 7.532, -0.124, -0.344, -1.022, -0.160, 0.016, 0.012
-6.719, -14.668, 4.648, 0.004, -0.261, -0.730, -0.160, 0.015, 0.012
-5.973, -10.218, 2.985, 0.062, -0.261, -0.745, -0.161, 0.014, 0.012
-5.390, -9.167, 2.498, 0.057, -0.232, -0.661, -0.161, 0.014, 0.013
-4.669, -11.453, 3.252, 0.042, -0.296, -0.765, -0.162, 0.013, 0.013
-4.074, -15.029, 4.466, 0.056, -0.301, -0.734, -0.162, 0.012, 0.013
-3.371, -17.238, 5.369, 0.069, -0.245, -0.544, -0.162, 0.011, 0.014
-2.620, -16.359, 5.655, 0.086, -0.209, -0.369, -0.162, 0.010, 0.014
-2.013, -13.053, 5.265, 0.097, -0.187, -0.212, -0.163, 0.008, 0.014
-1.398, -7.963, 4.490, 0.075, -0.139, -0.055, -0.163, 0.008, 0.015
-0.980, -3.583, 3.879, 0.064, -0.091, 0.018, -0.163, 0.007, 0.015
-0.765, -0.760, 2.908, 0.050, -0.076, 0.019, -0.163, 0.007, 0.015
-0.422, 0.385, 3.022, 0.020, -0.042, -0.015, -0.163, 0.007, 0.015
-0.176, -0.369, 3.157, -0.020, -0.022, -0.067, -0.163, 0.007, 0.016
0.045, -2.457, 2.296, -0.077, 0.012, -0.095, -0.163, 0.007, 0.016
0.323, -3.810, 0.775, 0.025, 0.072, -0.095, -0.163, 0.007, 0.016
0.481, -3.895, -0.900, -0.450, 0.360, -0.039, -0.163, 0.007, 0.016
0.559, -3.301, -2.551, -0.373, 0.421, 0.005, -0.163, 0.006, 0.016
0.539, -2.318, -3.530, -0.304, 0.357, 0.046, -0.163, 0.006, 0.015
0.529, -0.596, -4.309, -0.346, 0.369, 0.091, -0.163, 0.006, 0.015
0.557, 0.946, -4.332, 0.385, 0.287, 0.094, -0.163, 0.006, 0.015
0.522, 2.355, -2.950, 0.379, 0.268, 0.092, -0.163, 0.006, 0.015
0.465, 2.747, -0.515, 0.456, 0.167, 0.050, -0.163, 0.007, 0.015
0.363, 1.617, 1.361, 0.073, -0.148, 0.004, -0.163, 0.007, 0.015
0.329, -0.304, 2.580, 0.009, -0.134, -0.021, -0.163, 0.007, 0.015
0.207, -1.582, 3.099, -0.022, -0.132, -0.020, -0.163, 0.007, 0.015
0.158, -1.804, 3.011, -0.032, -0.102, 0.012, -0.163, 0.007, 0.015
0.029, -0.917, 2.398, -0.013, -0.068, 0.055, -0.163, 0.007, 0.015
-0.012, 0.253, 1.163, 0.047, -0.055, 0.098, -0.163, 0.007, 0.016

-11.387, 7.880, 13.753, -0.270, -0.896, 0.521, -0.001, 0.000, 0.001
-12.237, 7.964, 18.829, -0.267, -0.959, 0.543, -0.002, 0.001, 0.002
-12.718, 4.597, 24.707, -0.208, -0.763, 0.456, -0.002, 0.001, 0.004
-13.531, 4.365, 29.473, -0.149, -0.693, 0.546, -0.003, 0.002, 0.006
-14.149, 5.570, 29.671, -0.056, -0.437, 0.530, -0.004, 0.002, 0.008
-15.024, 7.849, 29.671, -0.003, -0.260, 0.646, -0.006, 0.003, 0.010
-15.988, 11.120, 29.671, 0.043, -0.018, 0.572, -0.007, 0.003, 0.012
-16.803, 16.147, 29.671, 0.094, 0.247, 0.604, -0.008, 0.005, 0.015
-17.474, 20.656, 29.671, 0.061, 0.495, 0.416, -0.009, 0.006, 0.017
-18.802, 24.114, 29.671, 0.028, 0.873, 0.239, -0.011, 0.008, 0.019
-20.407, 24.756, 29.671, 0.034, 1.047, -0.055, -0.012, 0.009, 0.021
-22.154, 21.734, 29.671, 0.075, 1.467, -0.406, -0.014, 0.011, 0.023
