ax,ay,az,dx,dy,dz,x,y,z
-6.503, 8.893, -15.004, -0.407, 0.439, -1.415, -0.002, 0.003, -0.004
-6.895, 7.699, -16.584, -0.273, 0.325, -1.337, -0.002, 0.003, -0.005
-7.347, 6.266, -18.882, -0.182, 0.283, -1.585, -0.003, 0.004, -0.006
-7.589, 5.065, -22.084, -0.070, 0.186, -1.649, -0.003, 0.004, -0.008
-7.764, 4.528, -25.018, -0.033, 0.049, -1.513, -0.004, 0.005, -0.010
-8.001, 2.330, -26.761, -0.072, -0.101, -1.579, -0.004, 0.005, -0.011
-8.261, 0.097, -28.877, -0.098, -0.300, -1.828, -0.005, 0.005, -0.014
-8.438, -1.773, -30.187, -0.940, -0.503, -1.849, -0.006, 0.005, -0.016
-8.875, -3.608, -30.167, -0.856, -0.648, -1.650, -0.006, 0.004, -0.018
-9.339, -7.102, -31.348, -0.825, -0.852, -1.658, -0.007, 0.004, -0.020
-9.998, -10.224, -31.259, -0.913, -1.201, -1.823, -0.008, 0.003, -0.022
-10.967, -13.549, -30.714, -0.916, -1.447, -1.743, -0.008, 0.002, -0.025
-12.130, -15.579, -29.300, -0.882, -1.505, -1.431, -0.009, 0.001, -0.027
-13.557, -16.689, -26.010, -0.977, -1.723, -1.281, -0.010, 0.000, -0.029
-14.841, -17.005, -21.795, -1.186, -2.157, -1.258, -0.011, -0.001, -0.030
-16.757, -17.348, -19.552, -1.212, -2.333, -1.082, -0.013, -0.003, -0.032
-18.732, -18.084, -19.108, -1.068, -2.214, -0.814, -0.014, -0.004, -0.033
-20.751, -21.309, -17.933, -1.145, -2.665, -0.773, -0.015, -0.005, -0.035
-22.788, -25.394, -15.023, -0.966, -2.537, -0.532, -0.017, -0.007, -0.036
-25.145, -29.694, -9.656, -1.087, -3.067, -0.365, -0.019, -0.009, -0.037
-27.180, -34.233, -2.866, -1.190, -3.042, -0.065, -0.021, -0.011, -0.037
-28.492, -35.861, 4.019, -0.438, -2.737, 0.310, -0.023, -0.014, -0.037
-30.302, -35.940, 10.605, -0.592, -2.882, 0.746, -0.025, -0.017, -0.036
-32.005, -33.290, 16.727, -0.557, -2.551, 1.065, -0.027, -0.019, -0.035
-33.302, -28.502, 22.264, -0.581, -2.475, 1.451, -0.029, -0.021, -0.033
-33.864, -22.792, 27.285, -0.699, -2.638, 2.007, -0.032, -0.023, -0.031
-34.472, -18.078, 29.750, -0.621, -2.176, 2.036, -0.034, -0.024, -0.029
-34.324, -13.725, 29.750, -0.542, -2.221, 2.506, -0.037, -0.026, -0.027
-33.576, -10.232, 29.750, -0.301, -1.968, 2.659, -0.040, -0.026, -0.025
-32.884, -8.095, 29.750, -0.087, -1.523, 2.449, -0.042, -0.027, -0.023
-31.624, -6.797, 29.750, 0.078, -1.468, 2.823, -0.045, -0.028, -0.020
-30.759, -4.806, 29.750, 0.208, -1.090, 2.581, -0.047, -0.028, -0.018
-29.567, -1.755, 29.750, 0.317, -0.870, 2.649, -0.048, -0.028, -0.016
-28.459, 1.418, 29.750, 0.415, -0.728, 3.018, -0.051, -0.028, -0.014
-27.495, 3.877, 29.750, 0.430, -0.485, 3.008, -0.053, -0.028, -0.012
-27.052, 5.286, 29.750, 0.392, -0.226, 2.633, -0.055, -0.027, -0.010
-26.584, 4.699, 29.750, 0.377, -0.022, 2.565, -0.056, -0.027, -0.008
-26.678, 2.732, 29.750, 0.374, 0.214, 2.819, -0.059, -0.027, -0.005
-27.564, 0.994, 29.750, 0.316, 0.487, 2.803, -0.061, -0.027, -0.003
-28.330, 3.288, 29.750, 0.261, 0.703, 2.545, -0.063, -0.027, -0.001
-28.677, 8.469, 29.750, 0.310, 1.104, 2.919, -0.065, -0.026, 0.001
-28.337, 12.755, 29.750, 0.271, 1.249, 2.557, -0.067, -0.025, 0.003
-28.770, 17.022, 29.750, 0.235, 1.656, 2.748, -0.069, -0.024, 0.006
-28.155, 19.994, 25.720, 0.145, 1.682, 2.279, -0.071, -0.023, 0.007
-27.205, 24.219, 20.559, 0.028, 2.103, 2.347, -0.073, -0.021, 0.009
-26.554, 24.869, 16.530, -0.111, 2.016, 1.808, -0.075, -0.019, 0.010
-25.957, 22.791, 12.565, -0.330, 2.422, 1.664, -0.077, -0.017, 0.011
-25.499, 17.866, 8.456, -0.468, 2.293, 1.158, -0.079, -0.016, 0.012
-25.131, 12.569, 4.143, -0.689, 2.780, 1.012, -0.081, -0.015, 0.012
-24.769, 7.590, -0.233, 0.455, -0.314, 0.803, -0.083, -0.014, 0.012
-24.124, 3.395, -4.747, -0.359, 2.033, 0.593, -0.084, -0.014, 0.012
-23.368, 0.325, -9.235, -0.268, 2.115, 0.536, -0.086, -0.014, 0.011
-22.043, -1.178, -13.280, -1.007, 2.373, 0.598, -0.088, -0.014, 0.010
-20.351, -1.329, -16.744, -0.895, 2.307, 0.630, -0.089, -0.014, 0.009
-18.559, -0.560, -19.405, -0.725, 1.960, 0.593, -0.090, -0.014, 0.008
-17.013, 0.899, -20.107, 0.025, 1.845, 0.619, -0.092, -0.014, 0.007
-15.309, 2.479, -20.703, 0.037, 1.944, 0.698, -0.093, -0.014, 0.005
-13.924, 3.479, -20.777, 0.042, 1.818, 0.673, -0.094, -0.014, 0.003
-12.786, 4.249, -20.599, 0.049, 1.503, 0.562, -0.095, -0.013, 0.002
-11.548, 4.580, -20.755, 0.063, 1.402, 0.514, -0.095, -0.013, 0.001
-10.550, 4.849, -20.668, 0.059, 1.470, 0.520, -0.096, -0.013, -0.001
-10.017, 5.816, -20.850, 0.002, 1.367, 0.461, -0.097, -0.012, -0.003
-9.123, 8.358, -21.423, -0.056, 1.124, 0.357, -0.098, -0.012, -0.004
-8.078, 10.529, -21.804, -0.106, 1.152, 0.294, -0.098, -0.011, -0.006
-7.135, 10.967, -22.260, -0.132, 0.919, 0.115, -0.099, -0.010, -0.007
-6.512, 9.622, -23.087, -0.167, 0.917, -0.046, -0.099, -0.010, -0.009
