ax,ay,az,dx,dy,dz,x,y,z
-12.926, 2.032, 14.030, 0.007, 0.854, 0.660, -0.006, -0.002, 0.009
-13.328, 4.273, 13.503, 0.086, 1.052, 0.772, -0.007, -0.001, 0.010
-13.610, 5.866, 13.342, 0.116, 1.144, 0.767, -0.009, -0.001, 0.011
-14.083, 7.104, 13.432, 0.143, 1.099, 0.657, -0.009, -0.000, 0.012
-14.653, 8.802, 13.341, 0.165, 1.188, 0.630, -0.010, 0.000, 0.013
-15.155, 10.959, 13.289, 0.223, 1.442, 0.665, -0.012, 0.001, 0.014
-15.686, 13.369, 13.445, 0.251, 1.549, 0.599, -0.013, 0.002, 0.015
-16.408, 15.313, 14.374, 0.239, 1.472, 0.438, -0.014, 0.003, 0.016
-17.607, 16.085, 15.237, 0.259, 1.785, 0.349, -0.015, 0.004, 0.017
-19.113, 15.909, 15.017, 0.204, 1.727, 0.170, -0.016, 0.005, 0.018
-20.455, 13.797, 12.325, 0.179, 1.892, 0.035, -0.018, 0.006, 0.019
-22.225, 14.763, 10.932, 0.113, 2.298, -0.070, -0.020, 0.007, 0.020
-23.905, 14.167, 7.916, 0.062, 2.479, -0.189, -0.021, 0.009, 0.021
-25.245, 14.566, 4.720, -0.007, 2.390, -0.275, -0.023, 0.009, 0.021
-26.247, 15.825, 0.999, -0.321, 2.979, -0.370, -0.025, 0.010, 0.021
-26.194, 17.699, -5.328, 0.348, 2.314, -0.560, -0.027, 0.012, 0.021
-26.325, 16.349, -9.872, 0.111, 2.417, -0.789, -0.029, 0.013, 0.020
-26.124, 15.373, -11.267, 0.016, 2.124, -0.881, -0.031, 0.014, 0.019
-25.937, 13.010, -12.076, -0.160, 2.349, -1.188, -0.033, 0.015, 0.018
-25.875, 11.218, -12.983, -0.396, 2.062, -1.223, -0.034, 0.016, 0.017
-26.205, 9.820, -13.627, -0.676, 2.277, -1.548, -0.037, 0.017, 0.016
-26.552, 9.844, -15.277, -0.775, 1.990, -1.528, -0.038, 0.017, 0.015
-26.073, 9.765, -18.279, -0.987, 2.193, -1.912, -0.040, 0.018, 0.014
-26.272, 11.064, -22.775, -0.925, 1.888, -1.871, -0.042, 0.019, 0.013
-25.921, 14.024, -28.098, -1.008, 2.008, -2.311, -0.044, 0.020, 0.010
-24.937, 15.011, -35.650, -0.850, 1.842, -2.584, -0.046, 0.021, 0.008
-23.696, 11.965, -44.384, -0.735, 1.429, -2.594, -0.048, 0.022, 0.005
-21.906, 4.881, -48.799, -0.740, 1.124, -2.879, -0.049, 0.022, 0.002
-20.780, -5.913, -48.799, -1.411, 0.848, -3.462, -0.051, 0.022, -0.002
-17.859, -17.669, -48.799, -1.062, 0.415, -3.497, -0.052, 0.021, -0.006
-14.883, -26.866, -47.884, -0.756, 0.016, -2.977, -0.053, 0.019, -0.009
-11.350, -38.554, -47.824, -0.964, -0.319, -3.141, -0.054, 0.016, -0.013
-8.738, -39.265, -47.951, -0.792, -0.566, -2.427, -0.055, 0.014, -0.016
-5.731, -39.265, -48.799, -0.414, -0.986, -2.163, -0.055, 0.011, -0.020
-6.439, -39.265, -48.799, -0.464, -1.173, -1.372, -0.056, 0.008, -0.023
-9.438, -39.265, -47.617, -1.043, -1.680, -0.981, -0.056, 0.005, -0.027
-10.479, -36.826, -41.313, -1.160, -1.814, -0.466, -0.057, 0.003, -0.030
-13.133, -31.422, -31.235, -1.453, -2.368, -0.121, -0.058, -0.000, -0.032
-15.066, -27.663, -23.027, -1.316, -2.296, 0.148, -0.059, -0.002, -0.034
-16.510, -25.543, -15.897, -1.374, -2.723, 0.387, -0.060, -0.004, -0.035
-17.990, -25.981, -11.097, -1.110, -2.513, 0.485, -0.062, -0.006, -0.036
-18.711, -30.008, -5.648, -1.280, -2.961, 0.684, -0.063, -0.008, -0.037
-19.437, -35.578, 0.932, 0.266, -1.855, 0.777, -0.064, -0.010, -0.037
-21.055, -39.265, 8.709, -0.370, -2.620, 1.188, -0.066, -0.013, -0.036
-22.662, -39.265, 15.949, -0.132, -2.318, 1.447, -0.067, -0.016, -0.035
-24.617, -39.265, 20.302, 0.210, -2.503, 2.151, -0.069, -0.019, -0.034
-27.172, -39.128, 21.952, 0.431, -2.099, 2.384, -0.071, -0.022, -0.032
-28.735, -32.723, 22.425, 0.442, -2.213, 3.168, -0.073, -0.024, -0.030
-30.484, -25.920, 23.678, 0.192, -1.851, 3.166, -0.075, -0.026, -0.029
-31.770, -19.384, 27.752, -0.025, -1.961, 3.895, -0.078, -0.028, -0.027
