ax,ay,az,dx,dy,dz,x,y,z
-19.874, 8.758, 29.671, -0.030, -2.626, 0.852, -0.061, -0.002, -0.030
-14.820, 9.610, 29.671, -0.146, -2.303, 0.958, -0.062, -0.001, -0.028
-11.677, 10.243, 29.671, -0.139, -1.571, 0.858, -0.063, -0.001, -0.026
-9.963, 13.744, 29.671, -0.032, -1.456, 0.987, -0.064, 0.000, -0.023
-8.949, 21.005, 29.671, 0.208, -1.121, 0.887, -0.064, 0.002, -0.022
-7.768, 27.743, 29.671, 0.439, -1.039, 0.886, -0.065, 0.004, -0.019
-6.359, 29.822, 29.671, 0.387, -0.661, 0.545, -0.065, 0.006, -0.017
-5.650, 28.288, 29.671, 0.383, -0.401, 0.292, -0.066, 0.008, -0.015
-5.331, 25.522, 29.671, 0.318, -0.047, 0.017, -0.066, 0.010, -0.013
-5.740, 22.984, 29.671, 0.362, 0.285, -0.187, -0.067, 0.012, -0.011
-6.711, 20.523, 29.671, 0.304, 0.536, -0.322, -0.067, 0.013, -0.009
-8.201, 18.832, 29.671, 0.289, 0.897, -0.508, -0.068, 0.014, -0.006
-10.182, 17.162, 29.671, 0.235, 1.049, -0.571, -0.068, 0.016, -0.004
-12.645, 14.374, 29.671, 0.293, 1.464, -0.770, -0.069, 0.017, -0.002
-14.864, 11.456, 29.671, 0.287, 1.566, -0.768, -0.070, 0.018, -0.000
-16.786, 10.028, 25.015, 0.323, 2.025, -0.904, -0.072, 0.018, 0.002
-18.267, 9.519, 17.602, 0.294, 2.223, -0.922, -0.073, 0.019, 0.004
-19.404, 9.170, 11.340, 0.202, 2.107, -0.849, -0.074, 0.020, 0.004
-20.210, 8.425, 6.217, 0.125, 2.234, -0.893, -0.076, 0.020, 0.005
-20.712, 7.530, 2.411, 0.003, 2.728, -1.058, -0.077, 0.021, 0.005
-20.875, 5.987, -0.836, 0.492, 1.546, -1.110, -0.079, 0.021, 0.005
-20.976, 4.678, -3.237, 0.221, 1.810, -1.021, -0.080, 0.022, 0.005
-21.117, 3.216, -5.649, 0.232, 1.884, -1.034, -0.082, 0.022, 0.005
-21.050, 2.577, -8.272, 0.268, 2.155, -1.171, -0.083, 0.022, 0.004
-20.651, 1.761, -11.692, 0.293, 2.164, -1.170, -0.085, 0.022, 0.003
-20.040, 0.746, -15.241, 0.282, 1.900, -1.047, -0.086, 0.022, 0.002
-19.159, 0.248, -18.391, 0.290, 1.841, -1.039, -0.088, 0.022, 0.001
-18.169, -0.167, -20.836, -0.508, 1.975, -1.163, -0.089, 0.022, -0.001
-17.245, -0.611, -22.255, -0.554, 1.860, -1.164, -0.090, 0.022, -0.002
-16.026, -0.870, -23.279, -0.533, 1.541, -1.040, -0.091, 0.022, -0.004
-14.917, -2.294, -23.499, -0.547, 1.427, -1.056, -0.092, 0.022, -0.005
-14.107, -4.374, -23.154, -0.568, 1.481, -1.192, -0.094, 0.022, -0.007
-13.077, -5.632, -23.091, -0.521, 1.370, -1.159, -0.095, 0.021, -0.009
-12.112, -7.057, -23.541, -0.438, 1.132, -0.986, -0.095, 0.021, -0.011
-11.059, -7.994, -24.554, -0.442, 1.181, -1.032, -0.096, 0.020, -0.013
-10.045, -8.161, -26.022, -0.354, 0.960, -0.833, -0.097, 0.020, -0.014
-8.908, -7.845, -27.525, -0.372, 0.967, -0.841, -0.098, 0.019, -0.016
-7.754, -7.701, -28.763, -0.328, 0.745, -0.674, -0.098, 0.019, -0.018
-6.542, -8.348, -29.597, -0.403, 0.694, -0.691, -0.099, 0.018, -0.021
-5.257, -9.673, -30.311, -0.404, 0.484, -0.552, -0.099, 0.017, -0.023
-4.070, -10.787, -31.106, -0.509, 0.392, -0.529, -0.100, 0.017, -0.025
-2.906, -11.955, -32.821, -0.485, 0.208, -0.368, -0.100, 0.016, -0.027
-2.193, -11.596, -35.264, -0.592, 0.060, -0.276, -0.100, 0.015, -0.030
-1.272, -11.214, -37.656, -0.567, -0.126, -0.124, -0.100, 0.014, -0.032
-1.031, -10.911, -40.640, -0.627, -0.366, -0.013, -0.100, 0.013, -0.036
-0.716, -9.555, -42.997, -0.667, -0.626, 0.118, -0.100, 0.013, -0.039
-1.243, -8.750, -45.477, -0.625, -0.812, 0.210, -0.100, 0.012, -0.042
-2.469, -7.403, -46.943, -0.704, -1.093, 0.307, -0.100, 0.011, -0.045
-4.298, -6.708, -48.252, -0.926, -1.566, 0.451, -0.101, 0.011, -0.049
-7.092, -5.859, -48.799, -1.051, -1.921, 0.563, -0.101, 0.010, -0.053
-11.154, -5.504, -48.799, -1.081, -2.028, 0.607, -0.102, 0.010, -0.056
-16.376, -4.056, -48.799, -1.436, -2.663, 0.837, -0.103, 0.010, -0.060
-22.766, -4.292, -48.799, -1.402, -2.720, 0.882, -0.104, 0.009, -0.063
-30.732, -4.290, -48.799, -1.600, -3.478, 1.182, -0.107, 0.009, -0.067
-39.666, -3.705, -48.799, -1.436, -3.469, 1.257, -0.109, 0.009, -0.070
-39.999, -2.982, -46.815, -1.562, -4.334, 1.668, -0.113, 0.009, -0.074
-39.999, -1.422, -42.014, -1.313, -4.240, 1.723, -0.115, 0.008, -0.077
-39.999, 4.868, -28.647, -0.354, -5.271, 2.243, -0.118, 0.009, -0.079
-39.999, 14.219, -2.863, 0.419, -5.469, 2.165, -0.121, 0.010, -0.080
-39.999, 30.622, 29.671, 0.924, -5.830, 2.413, -0.124, 0.012, -0.078
-39.999, 39.205, 29.671, 1.252, -5.117, 1.703, -0.127, 0.014, -0.076
-39.999, 37.209, 29.671, 1.335, -5.077, 1.048, -0.130, 0.017, -0.073
-31.461, 24.288, 29.671, 0.854, -3.996, 0.267, -0.133, 0.019, -0.071
-18.629, 7.637, 29.671, 0.185, -2.452, -0.167, -0.134, 0.020, -0.069
-11.071, -1.264, 29.671, -0.275, -1.424, -0.221, -0.135, 0.020, -0.067
-7.886, 0.206, 29.671, -0.518, -0.772, -0.031, -0.135, 0.020, -0.065
-6.537, 6.276, 29.671, -0.338, -0.217, 0.132, -0.136, 0.020, -0.063
-5.744, 13.739, 26.055, -0.095, 0.058, 0.221, -0.136, 0.021, -0.061
-4.777, 17.713, 11.934, 0.122, 0.206, 0.114, -0.137, 0.023, -0.060
-3.918, 16.456, 1.298, -0.127, 0.245, -0.086, -0.137, 0.024, -0.059
-3.219, 13.012, -4.447, 0.494, -0.151, -0.264, -0.137, 0.025, -0.060

-7.831, -3.996, 21.294, -0.066, -0.647, 0.678, -0.000, -0.000, 0.001
-9.062, -1.167, 29.671, -0.117, -0.615, 0.803, -0.001, -0.000, 0.003
-9.967, 3.799, 29.671, -0.136, -0.586, 1.024, -0.002, -0.000, 0.005
-10.917, 9.761, 29.671, -0.090, -0.354, 1.069, -0.003, 0.001, 0.008
-11.775, 14.603, 29.671, -0.038, 0.013, 0.893, -0.003, 0.002, 0.010
-13.031, 17.114, 29.671, 0.023, 0.480, 0.845, -0.004, 0.003, 0.012
-15.055, 17.078, 29.671, 0.119, 0.850, 0.560, -0.005, 0.004, 0.014
-17.230, 14.951, 29.671, 0.278, 1.401, 0.418, -0.007, 0.005, 0.016
-19.806, 12.738, 29.671, 0.345, 1.585, 0.227, -0.008, 0.006, 0.018
-22.158, 11.330, 29.671, 0.440, 2.115, 0.138, -0.010, 0.007, 0.021
-24.234, 10.516, 28.391, 0.399, 2.131, 0.041, -0.011, 0.008, 0.022
-26.064, 9.783, 20.627, 0.388, 2.631, -0.044, -0.013, 0.008, 0.024
-27.552, 6.937, 13.822, 0.272, 2.510, -0.146, -0.015, 0.009, 0.025
-28.696, 3.279, 8.511, 0.259, 2.996, -0.258, -0.017, 0.009, 0.026
-29.673, 0.077, 4.455, 0.236, 3.177, -0.292, -0.020, 0.009, 0.026
-30.522, -2.145, 0.760, 0.249, 3.641, -0.238, -0.022, 0.009, 0.026
-31.172, -3.304, -2.876, -0.017, 2.491, -0.204, -0.024, 0.009, 0.026
-31.673, -2.790, -7.128, -0.011, 2.407, -0.095, -0.026, 0.009, 0.026
-31.336, -0.128, -12.148, -0.047, 2.785, -0.015, -0.029, 0.009, 0.025
-30.388, 1.689, -16.830, 0.651, 2.472, 0.016, -0.031, 0.009, 0.024
-29.143, 1.852, -20.248, 0.638, 2.417, 0.001, -0.033, 0.009, 0.023
-27.825, 2.236, -22.989, 0.680, 2.625, -0.009, -0.035, 0.009, 0.021
